Reason1,Reason2,Reason3,Reason4,Month_value,Day_of_week,Transportation_Expense,Distance_to_Work,Age,Daily_Work_Load_Average,Body_Mass_Index,Education,Children,Pets,Probability,Prediction
0,0,0,1,9,13,118,10,37,241.476,28,0,0,0,0.135402,0
0,0,0,1,9,14,179,51,38,241.476,31,0,0,0,0.224042,0
0,0,0,1,9,24,291,31,40,241.476,25,0,1,1,0.403131,0
0,0,0,1,9,4,260,50,36,241.476,23,0,4,0,0.626469,1
1,0,0,0,9,14,291,31,40,241.476,25,0,1,1,0.836816,1
0,0,0,0,9,21,260,50,36,241.476,23,0,4,0,0.412768,0
0,0,0,0,9,28,225,26,28,241.476,24,0,1,2,0.126385,0
0,0,0,1,9,8,225,26,28,241.476,24,0,1,2,0.260253,0
0,0,0,1,9,15,118,10,37,241.476,28,0,0,0,0.133924,0
0,0,0,0,9,22,289,36,33,241.476,30,0,2,1,0.382987,0
0,0,0,0,9,29,118,13,50,241.476,31,0,1,0,0.078682,0
0,0,1,0,9,16,225,26,28,241.476,24,0,1,2,0.713796,1
0,0,0,1,9,23,179,51,38,241.476,31,0,0,0,0.214279,0
0,0,0,0,9,30,369,17,31,241.476,25,0,3,0,0.662583,1
0,0,0,1,9,11,248,25,47,241.476,32,0,2,1,0.464584,0
0,0,0,1,9,18,179,51,38,241.476,31,0,0,0,0.219664,0
0,0,0,1,9,25,260,50,36,241.476,23,0,4,0,0.594827,1
0,0,0,1,10,6,179,51,38,253.465,31,0,0,0,0.235671,0
0,0,0,1,10,13,118,10,37,253.465,28,0,0,0,0.137165,0
0,0,0,0,10,14,118,13,50,253.465,31,0,1,0,0.0870411,0
0,0,0,1,10,15,179,26,30,253.465,19,1,0,0,0.185921,0
0,0,0,1,10,16,179,51,38,253.465,31,0,0,0,0.224442,0
0,0,0,1,10,16,225,26,28,253.465,24,0,1,2,0.253431,0
0,0,0,1,10,6,118,10,37,253.465,28,0,0,0,0.142503,0
0,0,0,1,10,14,225,26,28,253.465,24,0,1,2,0.255838,0
0,0,0,1,10,21,248,25,47,253.465,32,0,2,1,0.452563,0
0,0,0,1,10,22,291,31,40,253.465,25,0,1,1,0.409804,0
0,0,0,1,10,21,179,51,38,253.465,31,0,0,0,0.218972,0
0,0,0,1,10,21,225,26,28,253.465,24,0,1,2,0.247481,0
0,0,1,0,10,22,260,50,36,253.465,23,0,4,0,0.91888,1
1,0,0,0,10,13,291,31,40,253.465,25,0,1,1,0.839707,1
0,0,0,1,10,20,225,26,28,253.465,24,0,1,2,0.248663,0
0,0,0,1,10,21,289,36,33,253.465,30,0,2,1,0.575978,1
0,0,0,1,10,23,361,52,28,253.465,27,0,1,4,0.455577,0
0,0,0,1,10,30,260,50,36,253.465,23,0,4,0,0.590791,1
0,0,0,1,11,5,179,51,38,306.345,31,0,0,0,0.24383,0
0,0,0,1,11,4,225,26,28,306.345,24,0,1,2,0.275701,0
1,0,0,0,11,5,179,51,38,306.345,31,0,0,0,0.69677,1
0,0,1,0,11,12,179,22,40,306.345,22,1,2,0,0.775339,1
0,0,0,1,11,19,291,31,40,306.345,25,0,1,1,0.423767,0
1,0,0,0,11,2,155,12,34,306.345,25,0,2,0,0.754634,1
0,0,0,1,11,9,189,29,33,306.345,25,0,2,2,0.253421,0
1,0,0,0,11,16,291,31,40,306.345,25,0,1,1,0.842301,1
0,0,0,1,11,18,225,26,28,306.345,24,0,1,2,0.258333,0
1,0,0,0,11,20,155,12,34,306.345,25,0,2,0,0.732895,1
0,0,0,1,11,18,225,26,28,306.345,24,0,1,2,0.258333,0
0,0,1,0,11,25,179,22,40,306.345,22,1,2,0,0.760658,1
1,0,0,0,11,20,225,26,28,306.345,24,0,1,2,0.710216,1
0,0,0,1,11,27,260,50,36,306.345,23,0,4,0,0.604603,1
0,0,0,1,11,2,248,25,47,306.345,32,0,2,1,0.492142,0
0,0,0,1,11,10,225,26,28,306.345,24,0,1,2,0.26817,0
1,0,0,0,11,11,289,36,33,306.345,30,0,2,1,0.914657,1
0,0,0,1,11,26,291,31,40,306.345,25,0,1,1,0.412968,0
0,0,0,1,12,1,248,25,47,261.306,32,0,2,1,0.489298,0
0,0,1,0,12,1,118,10,37,261.306,28,0,0,0,0.566361,1
0,0,0,1,12,2,118,13,50,261.306,31,0,1,0,0.183671,0
0,0,0,1,12,2,235,11,37,261.306,29,1,1,1,0.434726,0
0,0,0,1,12,3,225,26,28,261.306,24,0,1,2,0.273435,0
0,0,0,1,12,4,260,50,36,261.306,23,0,4,0,0.634782,1
0,0,1,0,12,8,118,10,37,261.306,28,0,0,0,0.555431,1
0,0,0,1,12,9,361,52,28,261.306,27,0,1,4,0.482834,0
0,0,0,1,12,10,225,26,28,261.306,24,0,1,2,0.264707,0
0,0,0,1,12,11,260,50,36,261.306,23,0,4,0,0.624433,1
0,0,0,1,12,15,225,26,28,261.306,24,0,1,2,0.258583,0
0,0,0,1,12,16,361,52,28,261.306,27,0,1,4,0.471762,0
0,0,0,1,12,11,118,10,37,261.306,28,0,0,0,0.141165,0
0,0,1,0,12,18,246,25,41,261.306,23,0,0,0,0.743291,1
0,0,0,1,12,18,225,26,28,261.306,24,0,1,2,0.254953,0
0,0,0,1,1,6,225,26,28,308.593,24,0,1,2,0.257627,0
0,0,1,0,1,4,118,10,37,308.593,28,0,0,0,0.546353,1
0,0,0,1,1,5,118,10,37,308.593,28,0,0,0,0.138278,0
0,0,1,0,1,5,155,12,34,308.593,25,0,2,0,0.744635,1
0,0,0,1,1,6,225,26,28,308.593,24,0,1,2,0.257627,0
0,0,0,1,1,7,184,42,27,308.593,21,0,0,0,0.182256,0
0,0,0,1,1,7,225,26,28,308.593,24,0,1,2,0.256416,0
0,0,0,1,1,8,225,26,28,308.593,24,0,1,2,0.255209,0
0,0,0,1,1,11,118,10,37,308.593,28,0,0,0,0.133808,0
0,0,0,1,1,12,225,26,28,308.593,24,0,1,2,0.250419,0
0,0,0,1,1,12,118,10,37,308.593,28,0,0,0,0.133074,0
0,0,0,1,1,13,118,10,37,308.593,28,0,0,0,0.132345,0
0,0,0,1,1,14,118,10,37,308.593,28,0,0,0,0.131618,0
0,0,0,1,1,15,118,10,37,308.593,28,0,0,0,0.130895,0
0,0,0,1,1,11,118,10,37,308.593,28,0,0,0,0.133808,0
0,0,0,1,1,12,118,10,37,308.593,28,0,0,0,0.133074,0
0,0,1,0,1,12,179,26,30,308.593,19,1,0,0,0.624856,1
0,0,1,0,1,12,289,36,33,308.593,30,0,2,1,0.911434,1
0,0,0,1,1,13,118,10,37,308.593,28,0,0,0,0.132345,0
0,0,0,1,1,21,184,42,27,308.593,21,0,0,0,0.169398,0
0,0,0,1,1,28,118,10,37,308.593,28,0,0,0,0.121801,0
0,0,0,1,1,25,118,10,37,308.593,28,0,0,0,0.12385,0
0,0,0,1,1,26,225,26,28,308.593,24,0,1,2,0.234129,0
0,0,0,1,1,28,289,36,33,308.593,30,0,2,1,0.554917,1
0,0,0,1,2,5,184,42,27,302.585,21,0,0,0,0.184855,0
1,0,0,0,2,3,246,25,41,302.585,23,0,0,0,0.7418,1
1,0,0,0,2,10,179,51,38,302.585,31,0,0,0,0.673741,1
0,0,0,1,2,11,155,12,34,302.585,25,0,2,0,0.274392,0
0,0,0,1,2,11,189,29,33,302.585,25,0,2,2,0.237173,0
0,0,0,1,2,12,260,50,36,302.585,23,0,4,0,0.609372,1
0,0,0,1,2,12,289,36,33,302.585,30,0,2,1,0.580946,1
1,0,0,0,2,8,388,15,50,302.585,24,0,0,0,0.916571,1
1,0,0,0,2,9,388,15,50,302.585,24,0,0,0,0.916085,1
0,0,0,1,2,15,225,26,28,302.585,24,0,1,2,0.247733,0
0,0,0,1,2,9,225,26,28,302.585,24,0,1,2,0.25489,0
0,0,0,1,2,16,179,26,30,302.585,19,1,0,0,0.179497,0
0,0,0,1,2,23,184,42,27,302.585,21,0,0,0,0.168273,0
0,0,0,1,2,25,225,26,28,302.585,24,0,1,2,0.236108,0
0,0,1,0,2,15,330,16,28,302.585,25,1,0,0,0.917495,1
0,0,0,1,2,16,330,16,28,302.585,25,1,0,0,0.597047,1
0,0,0,1,2,17,225,26,28,302.585,24,0,1,2,0.245378,0
0,0,1,0,2,25,189,29,33,302.585,25,0,2,2,0.679672,1
0,0,0,1,3,1,291,50,32,343.253,23,0,0,0,0.413379,0
0,0,1,0,3,1,260,50,36,343.253,23,0,4,0,0.927916,1
0,0,1,0,3,8,157,27,29,343.253,22,0,0,0,0.583891,1
0,1,0,0,3,15,179,22,40,343.253,22,1,2,0,0.294687,0
0,0,0,1,3,16,291,31,40,343.253,25,0,1,1,0.417755,0
1,0,0,0,3,2,260,50,36,343.253,23,0,4,0,0.92437,1
1,0,0,0,3,3,179,26,30,343.253,19,1,0,0,0.635954,1
1,0,0,0,3,4,248,25,47,343.253,32,0,2,1,0.867146,1
1,0,0,0,3,4,260,50,36,343.253,23,0,4,0,0.923479,1
1,0,0,0,3,7,179,22,40,343.253,22,1,2,0,0.765166,1
1,0,0,0,3,14,155,12,34,343.253,25,0,2,0,0.731788,1
0,0,0,1,3,21,260,50,36,343.253,23,0,4,0,0.603253,1
1,0,0,0,3,22,155,12,34,343.253,25,0,2,0,0.721717,1
1,0,0,0,3,24,289,36,33,343.253,30,0,2,1,0.904284,1
1,0,0,0,3,24,179,22,40,343.253,22,1,2,0,0.745249,1
0,0,0,1,3,25,260,50,36,343.253,23,0,4,0,0.597167,1
0,0,0,1,3,25,225,26,28,343.253,24,0,1,2,0.241822,0
1,0,0,0,3,28,279,5,39,343.253,24,0,2,0,0.886332,1
1,0,0,0,3,29,179,51,38,343.253,31,0,0,0,0.653875,1
0,0,0,1,3,30,225,26,28,343.253,24,0,1,2,0.236058,0
1,0,0,0,3,28,225,26,28,343.253,24,0,1,2,0.690407,1
1,0,0,0,3,28,179,26,30,343.253,19,1,0,0,0.59853,1
1,0,0,0,3,29,225,26,28,343.253,24,0,1,2,0.68905,1
1,0,0,0,3,30,225,26,28,343.253,24,0,1,2,0.68769,1
1,0,0,0,3,30,179,51,38,343.253,31,0,0,0,0.652438,1
1,0,0,0,3,17,279,5,39,343.253,24,0,2,0,0.893171,1
0,0,0,1,3,18,225,26,28,343.253,24,0,1,2,0.250052,0
1,0,0,0,3,25,248,25,47,343.253,32,0,2,1,0.851044,1
0,0,0,1,3,28,225,26,28,343.253,24,0,1,2,0.238352,0
0,0,0,1,4,6,291,31,40,326.452,25,0,1,1,0.432877,0
0,0,0,1,4,13,225,26,28,326.452,24,0,1,2,0.255753,0
0,0,0,1,4,12,155,12,34,326.452,25,0,2,0,0.279107,0
1,0,0,0,4,13,246,25,41,326.452,23,0,0,0,0.735331,1
0,0,0,1,4,14,155,12,34,326.452,25,0,2,0,0.276563,0
0,0,0,1,4,15,225,26,28,326.452,24,0,1,2,0.253347,0
0,0,0,1,4,15,260,50,36,326.452,23,0,4,0,0.611958,1
1,0,0,0,4,6,179,51,38,326.452,31,0,0,0,0.685768,1
0,0,0,1,4,7,118,13,50,326.452,31,0,1,0,0.174961,0
0,0,0,1,4,8,291,31,40,326.452,25,0,1,1,0.429767,0
1,0,0,0,4,8,246,25,41,326.452,23,0,0,0,0.741454,1
0,0,0,1,4,22,291,31,40,326.452,25,0,1,1,0.408164,0
0,0,0,1,4,29,248,25,47,326.452,32,0,2,1,0.438357,0
0,0,1,0,4,29,260,50,36,326.452,23,0,4,0,0.914983,1
0,0,1,0,4,26,289,36,33,326.452,30,0,2,1,0.90696,1
1,0,0,0,4,27,155,12,34,326.452,25,0,2,0,0.714994,1
0,0,1,0,4,27,378,49,36,326.452,21,0,2,4,0.863571,1
1,0,0,0,4,28,289,36,33,326.452,30,0,2,1,0.901932,1
1,0,0,0,4,8,235,11,37,326.452,29,1,1,1,0.836939,1
0,0,0,0,4,4,235,29,48,326.452,33,0,1,5,0.0937095,0
1,0,0,0,5,4,289,36,33,378.884,30,0,2,1,0.917527,1
0,0,0,1,5,5,155,12,34,378.884,25,0,2,0,0.296015,0
0,0,0,1,5,2,155,12,34,378.884,25,0,2,0,0.299994,0
0,0,1,0,5,3,179,51,38,378.884,31,0,0,0,0.707466,1
0,0,1,0,5,3,225,26,28,378.884,24,0,1,2,0.739366,1
1,0,0,0,5,11,184,42,27,378.884,21,0,0,0,0.624804,1
0,0,0,1,5,9,155,12,34,378.884,25,0,2,0,0.290758,0
1,0,0,0,5,10,179,51,38,378.884,31,0,0,0,0.688522,1
1,0,0,0,5,4,289,36,33,378.884,30,0,2,1,0.917527,1
0,0,0,0,5,11,279,5,39,378.884,24,0,2,0,0.371129,0
0,0,0,0,5,18,330,16,28,378.884,25,1,0,0,0.422311,0
0,0,0,0,5,25,378,49,36,378.884,21,0,2,4,0.294214,0
0,0,0,0,5,25,388,15,50,378.884,24,0,0,0,0.408858,0
1,0,0,0,5,24,179,51,38,378.884,31,0,0,0,0.669175,1
1,0,0,0,5,11,118,13,50,378.884,31,0,1,0,0.604847,1
0,0,0,1,5,27,361,52,28,378.884,27,0,1,4,0.457071,0
0,0,1,0,6,6,246,25,41,377.55,23,0,0,0,0.760831,1
0,0,0,1,6,13,361,52,28,377.55,27,0,1,4,0.481,0
1,0,0,0,6,14,246,25,41,377.55,23,0,0,0,0.742883,1
0,0,0,1,6,16,291,31,40,377.55,25,0,1,1,0.428491,0
1,0,0,0,6,17,246,25,41,377.55,23,0,0,0,0.739234,1
1,0,0,0,6,13,179,51,38,377.55,31,0,0,0,0.686012,1
0,0,0,1,6,20,155,12,34,377.55,25,0,2,0,0.27806,0
1,0,0,0,6,27,246,25,41,377.55,23,0,0,0,0.726828,1
1,0,0,0,6,29,118,13,50,377.55,31,0,1,0,0.579062,1
1,0,0,0,6,3,235,11,37,377.55,29,1,1,1,0.847204,1
0,0,0,1,6,7,118,13,50,377.55,31,0,1,0,0.181628,0
1,0,0,0,6,8,118,13,50,377.55,31,0,1,0,0.61113,1
0,0,0,1,6,9,378,49,36,377.55,21,0,2,4,0.498908,0
1,0,0,0,6,10,179,51,38,377.55,31,0,0,0,0.690094,1
0,0,0,1,6,20,289,48,49,377.55,36,0,0,2,0.374285,0
0,0,0,1,6,30,225,26,28,377.55,24,0,1,2,0.244081,0
0,0,1,0,7,5,155,12,34,275.312,25,0,2,0,0.750214,1
1,0,0,0,7,6,118,13,50,275.312,31,0,1,0,0.602102,1
1,0,0,0,7,8,118,10,37,275.312,28,0,0,0,0.536095,1
0,0,0,1,7,8,118,10,37,275.312,28,0,0,0,0.139538,0
0,0,0,1,7,12,330,16,28,275.312,25,1,0,0,0.609076,1
0,0,1,0,7,14,179,26,30,275.312,19,1,0,0,0.628803,1
0,0,0,1,7,15,155,12,34,275.312,25,0,2,0,0.274299,0
1,0,0,0,7,18,330,16,28,275.312,25,1,0,0,0.914444,1
1,0,0,0,7,19,330,16,28,275.312,25,1,0,0,0.913947,1
0,0,0,1,7,18,157,27,29,275.312,22,0,0,0,0.149258,0
0,0,0,1,7,19,361,52,28,275.312,27,0,1,4,0.458945,0
0,0,0,1,7,20,289,36,33,275.312,30,0,2,1,0.574646,1
0,0,0,1,7,21,179,51,38,275.312,31,0,0,0,0.216962,0
0,0,1,0,7,11,289,36,33,275.312,30,0,2,1,0.914289,1
0,0,1,0,7,14,289,36,33,275.312,30,0,2,1,0.912786,1
0,0,0,0,7,21,260,50,36,275.312,23,0,4,0,0.413541,0
0,0,1,0,8,4,289,36,33,265.615,30,0,2,1,0.917895,1
0,0,1,0,8,11,157,27,29,265.615,22,0,0,0,0.578291,1
0,0,0,1,8,7,289,36,33,265.615,30,0,2,1,0.595271,1
0,0,1,0,8,8,228,14,58,265.615,22,0,2,1,0.733055,1
1,0,0,0,8,10,300,26,43,265.615,25,0,2,1,0.885267,1
1,0,0,0,8,10,300,26,43,265.615,25,0,2,1,0.885267,1
0,0,0,1,8,11,260,50,36,265.615,23,0,4,0,0.617382,1
0,0,0,1,8,8,289,36,33,265.615,30,0,2,1,0.593743,1
0,0,0,1,8,9,248,25,47,265.615,32,0,2,1,0.469168,0
1,0,0,0,8,10,268,11,33,265.615,25,1,0,0,0.849773,1
0,0,0,1,8,10,179,26,30,265.615,19,1,0,0,0.189344,0
1,0,0,0,8,10,118,13,50,265.615,31,0,1,0,0.596624,1
0,0,0,1,8,14,248,25,47,265.615,32,0,2,1,0.461281,0
0,0,0,1,8,15,235,11,37,265.615,29,1,1,1,0.407341,0
0,0,0,1,8,17,118,13,50,265.615,31,0,1,0,0.165657,0
0,0,1,0,8,24,235,11,37,265.615,29,1,1,1,0.828813,1
1,0,0,0,8,8,361,52,28,265.615,27,0,1,4,0.866627,1
1,0,0,0,8,30,184,42,27,265.615,21,0,0,0,0.586351,1
1,0,0,0,9,5,179,51,38,294.217,31,0,0,0,0.691853,1
0,0,0,1,9,9,179,51,38,294.217,31,0,0,0,0.234994,0
0,0,1,0,9,7,289,36,33,294.217,30,0,2,1,0.918308,1
0,0,0,0,9,8,235,20,43,294.217,38,0,1,0,0.342952,0
1,0,0,0,9,12,246,25,41,294.217,23,0,0,0,0.740819,1
0,0,0,1,9,13,291,31,40,294.217,25,0,1,1,0.427403,0
0,0,0,0,9,13,231,35,39,294.217,35,0,2,2,0.259636,0
0,0,0,0,9,13,291,50,32,294.217,23,0,0,0,0.23732,0
1,0,0,0,9,14,179,51,38,294.217,31,0,0,0,0.679557,1
1,0,0,0,9,14,246,25,41,294.217,23,0,0,0,0.738376,1
0,0,0,1,9,15,179,51,38,294.217,31,0,0,0,0.228224,0
0,0,0,1,9,16,291,31,40,294.217,25,0,1,1,0.422755,0
0,0,0,1,9,16,260,50,36,294.217,23,0,4,0,0.615681,1
0,0,0,1,9,14,235,20,43,294.217,38,0,1,0,0.518403,1
0,0,0,1,9,15,118,13,50,294.217,31,0,1,0,0.170861,0
0,0,0,0,9,15,235,20,43,294.217,38,0,1,0,0.333022,0
0,0,0,1,9,16,291,31,40,294.217,25,0,1,1,0.422755,0
1,0,0,0,9,26,291,31,40,294.217,25,0,1,1,0.830459,1
1,0,0,0,9,26,179,51,38,294.217,31,0,0,0,0.662768,1
0,0,0,1,10,5,289,36,33,265.017,30,0,2,1,0.60213,1
0,0,0,1,10,5,235,11,37,265.017,29,1,1,1,0.426609,0
0,0,0,1,10,5,289,36,33,265.017,30,0,2,1,0.60213,1
0,0,0,1,10,6,289,36,33,265.017,30,0,2,1,0.60061,1
0,0,0,0,10,6,118,13,50,265.017,31,0,1,0,0.0917072,0
0,0,0,0,10,6,248,25,47,265.017,32,0,2,1,0.299338,0
1,0,0,0,10,12,179,26,30,265.017,19,1,0,0,0.625432,1
1,0,0,0,10,12,118,10,37,265.017,28,0,0,0,0.534367,1
0,0,0,1,10,12,369,17,31,265.017,25,0,3,0,0.828126,1
0,0,0,1,10,14,179,51,38,265.017,31,0,0,0,0.22782,0
1,0,0,0,10,14,179,26,30,265.017,19,1,0,0,0.622457,1
0,0,0,0,10,14,235,20,43,265.017,38,0,1,0,0.332512,0
0,0,1,0,10,15,289,36,33,265.017,30,0,2,1,0.913743,1
0,0,0,1,10,16,260,50,36,265.017,23,0,4,0,0.613636,1
0,0,0,0,10,16,235,20,43,265.017,38,0,1,0,0.329704,0
0,0,0,1,10,19,235,20,43,265.017,38,0,1,0,0.508326,1
0,0,0,1,10,19,235,20,43,265.017,38,0,1,0,0.508326,1
0,0,0,1,10,20,118,13,50,265.017,31,0,1,0,0.165222,0
0,0,0,1,10,20,291,31,40,265.017,25,0,1,1,0.414481,0
0,0,0,1,10,22,179,26,30,265.017,19,1,0,0,0.180274,0
0,0,0,1,10,22,118,13,50,265.017,31,0,1,0,0.163481,0
1,0,0,0,10,26,361,52,28,265.017,27,0,1,4,0.854856,1
0,0,0,0,10,27,260,50,36,265.017,23,0,4,0,0.408789,0
0,0,0,0,10,27,291,31,40,265.017,25,0,1,1,0.240178,0
0,0,0,0,10,27,157,27,29,265.017,22,0,0,0,0.073038,0
1,0,0,0,10,28,179,26,30,265.017,19,1,0,0,0.601382,1
1,0,0,0,10,28,179,26,30,265.017,19,1,0,0,0.601382,1
0,0,0,1,10,29,118,13,50,265.017,31,0,1,0,0.157502,0
1,0,0,0,11,7,118,10,37,284.031,28,0,0,0,0.54696,1
0,0,0,1,11,7,248,25,47,284.031,32,0,2,1,0.481027,0
1,0,0,0,11,8,179,51,38,284.031,31,0,0,0,0.690006,1
0,0,0,1,11,11,260,50,36,284.031,23,0,4,0,0.625587,1
0,0,0,1,11,14,291,31,40,284.031,25,0,1,1,0.42839,0
1,0,0,0,11,14,378,49,36,284.031,21,0,2,4,0.871535,1
1,0,0,0,11,14,155,12,34,284.031,25,0,2,0,0.737808,1
0,0,0,1,11,14,235,20,43,284.031,38,0,1,0,0.520992,1
0,0,0,0,11,15,330,16,28,284.031,25,1,0,0,0.425552,0
0,0,1,0,11,16,235,11,37,284.031,29,1,1,1,0.840618,1
1,0,0,0,11,16,118,10,37,284.031,28,0,0,0,0.532786,1
0,0,0,1,11,17,235,11,37,284.031,29,1,1,1,0.41271,0
0,0,0,1,11,17,179,51,38,284.031,31,0,0,0,0.227818,0
1,0,0,0,11,18,246,25,41,284.031,23,0,0,0,0.735471,1
1,0,0,0,11,18,291,31,40,284.031,25,0,1,1,0.838888,1
1,0,0,0,11,21,246,25,41,284.031,23,0,0,0,0.731754,1
0,0,0,1,11,22,179,51,38,284.031,31,0,0,0,0.22229,0
1,0,0,0,11,23,260,50,36,284.031,23,0,4,0,0.916904,1
0,1,0,0,11,25,260,50,36,284.031,23,0,4,0,0.595104,1
0,0,0,0,11,25,378,49,36,284.031,21,0,2,4,0.293022,0
0,0,0,0,11,29,279,5,39,284.031,24,0,2,0,0.34361,0
0,0,0,1,11,24,179,51,38,284.031,31,0,0,0,0.220105,0
1,0,0,0,12,5,225,26,28,236.629,24,0,1,2,0.723055,1
0,0,0,1,12,5,179,51,38,236.629,31,0,0,0,0.238002,0
0,0,0,1,12,5,179,51,38,236.629,31,0,0,0,0.238002,0
0,0,0,1,12,5,235,11,37,236.629,29,1,1,1,0.426593,0
0,0,0,1,12,6,118,13,50,236.629,31,0,1,0,0.177821,0
0,0,0,1,12,9,260,50,36,236.629,23,0,4,0,0.624088,1
1,0,0,0,12,15,246,25,41,236.629,23,0,0,0,0.73546,1
0,0,0,1,12,15,179,51,38,236.629,31,0,0,0,0.226696,0
0,0,0,1,12,16,179,51,38,236.629,31,0,0,0,0.225586,0
0,0,0,1,12,20,179,26,30,236.629,19,1,0,0,0.182146,0
0,0,0,1,12,20,118,10,37,236.629,28,0,0,0,0.13275,0
0,0,0,1,12,22,235,11,37,236.629,29,1,1,1,0.400461,0
0,0,0,1,12,23,179,51,38,236.629,31,0,0,0,0.217927,0
1,0,0,0,12,20,235,20,43,236.629,38,0,1,0,0.879813,1
1,0,0,0,12,20,235,11,37,236.629,29,1,1,1,0.828196,1
0,0,0,1,12,21,260,50,36,236.629,23,0,4,0,0.606078,1
0,0,0,1,12,19,157,27,29,236.629,22,0,0,0,0.150789,0
0,0,0,1,12,19,179,51,38,236.629,31,0,0,0,0.222281,0
0,0,1,0,12,19,289,36,33,236.629,30,0,2,1,0.911718,1
0,0,0,1,1,4,225,26,28,330.061,24,0,1,2,0.262435,0
0,0,1,0,1,9,118,10,37,330.061,28,0,0,0,0.541543,1
0,0,0,1,1,9,155,12,34,330.061,25,0,2,0,0.278458,0
1,0,0,0,1,3,235,11,37,330.061,29,1,1,1,0.838225,1
0,0,0,1,1,3,155,12,34,330.061,25,0,2,0,0.286165,0
0,0,0,1,1,9,289,36,33,330.061,30,0,2,1,0.587424,1
1,0,0,0,1,11,291,31,40,330.061,25,0,1,1,0.837493,1
0,0,0,1,1,16,235,20,43,330.061,38,0,1,0,0.504167,1
0,0,0,1,1,16,118,13,50,330.061,31,0,1,0,0.163807,0
0,0,0,1,1,25,179,51,38,330.061,31,0,0,0,0.209812,0
0,0,0,1,1,27,179,51,38,330.061,31,0,0,0,0.207717,0
0,0,0,1,2,7,118,10,37,251.818,28,0,0,0,0.133914,0
0,0,0,1,2,1,179,51,38,251.818,31,0,0,0,0.229585,0
1,0,0,0,2,1,225,26,28,251.818,24,0,1,2,0.713547,1
0,0,0,1,2,3,289,36,33,251.818,30,0,2,1,0.587736,1
